KODE DAN DATA ADMINISTRASI PEMERINTAHAN (PROVINSI, KABUPATEN/KOTA, KECAMATAN, DESA DAN KELURAHAN);;;;;;;;;;
KEPMENDAGRI Nomor 300.2.2 - 2138 TAHUN 2025;;;;;;;;;;
No;Kode Wilayah;Kode_Prov;Kode_Kab;Kode_Kec;Kode_Kel/Desa;Provinsi;Kabupaten/Kota;Kecamatan;Kelurahan/Desa;TIPE
100;11.01.06.2016;11.;11.01.;11.01.06.;11.01.06.2016;Aceh;Kabupaten Aceh Selatan;Samadua;Luar;Desa
101;11.01.06.2017;11.;11.01.;11.01.06.;11.01.06.2017;Aceh;Kabupaten Aceh Selatan;Samadua;Lubuk Layu;Desa
102;11.01.06.2018;11.;11.01.;11.01.06.;11.01.06.2018;Aceh;Kabupaten Aceh Selatan;Samadua;Suaq Hulu;Desa
103;11.01.06.2019;11.;11.01.;11.01.06.;11.01.06.2019;Aceh;Kabupaten Aceh Selatan;Samadua;Tampang;Desa
104;11.01.06.2020;11.;11.01.;11.01.06.;11.01.06.2020;Aceh;Kabupaten Aceh Selatan;Samadua;Payonan Gadang;Desa
105;11.01.06.2021;11.;11.01.;11.01.06.;11.01.06.2021;Aceh;Kabupaten Aceh Selatan;Samadua;Gadang;Desa
106;11.01.06.2022;11.;11.01.;11.01.06.;11.01.06.2022;Aceh;Kabupaten Aceh Selatan;Samadua;Baru;Desa
107;11.01.06.2023;11.;11.01.;11.01.06.;11.01.06.2023;Aceh;Kabupaten Aceh Selatan;Samadua;Ladang Kasik Putih;Desa
108;11.01.06.2024;11.;11.01.;11.01.06.;11.01.06.2024;Aceh;Kabupaten Aceh Selatan;Samadua;Air Sialang Hilir.;Desa
109;11.01.06.2025;11.;11.01.;11.01.06.;11.01.06.2025;Aceh;Kabupaten Aceh Selatan;Samadua;Air Sialang Hulu;Desa
110;11.01.06.2026;11.;11.01.;11.01.06.;11.01.06.2026;Aceh;Kabupaten Aceh Selatan;Samadua;Air Sialang Tengah;Desa
111;11.01.06.2027;11.;11.01.;11.01.06.;11.01.06.2027;Aceh;Kabupaten Aceh Selatan;Samadua;Balai;Desa
112;11.01.06.2028;11.;11.01.;11.01.06.;11.01.06.2028;Aceh;Kabupaten Aceh Selatan;Samadua;Arafah;Desa
113;11.01.07.2001;11.;11.01.;11.01.07.;11.01.07.2001;Aceh;Kabupaten Aceh Selatan;Sawang;Sikulat;Desa
114;11.01.07.2002;11.;11.01.;11.01.07.;11.01.07.2002;Aceh;Kabupaten Aceh Selatan;Sawang;Sawang I;Desa
115;11.01.07.2003;11.;11.01.;11.01.07.;11.01.07.2003;Aceh;Kabupaten Aceh Selatan;Sawang;Meuligo;Desa
116;11.01.07.2004;11.;11.01.;11.01.07.;11.01.07.2004;Aceh;Kabupaten Aceh Selatan;Sawang;Lhok Pawoh;Desa
117;11.01.07.2005;11.;11.01.;11.01.07.;11.01.07.2005;Aceh;Kabupaten Aceh Selatan;Sawang;Sawang II;Desa
118;11.01.07.2006;11.;11.01.;11.01.07.;11.01.07.2006;Aceh;Kabupaten Aceh Selatan;Sawang;Ujung Karang;Desa
119;11.01.07.2007;11.;11.01.;11.01.07.;11.01.07.2007;Aceh;Kabupaten Aceh Selatan;Sawang;Trieng Meuduro Baroh;Desa
120;11.01.07.2008;11.;11.01.;11.01.07.;11.01.07.2008;Aceh;Kabupaten Aceh Selatan;Sawang;Trieng Meuduro Tunong;Desa
121;11.01.07.2009;11.;11.01.;11.01.07.;11.01.07.2009;Aceh;Kabupaten Aceh Selatan;Sawang;Panton Luas;Desa
122;11.01.07.2010;11.;11.01.;11.01.07.;11.01.07.2010;Aceh;Kabupaten Aceh Selatan;Sawang;Simpang Tiga;Desa
123;11.01.07.2011;11.;11.01.;11.01.07.;11.01.07.2011;Aceh;Kabupaten Aceh Selatan;Sawang;Kuta Baro;Desa
124;11.01.07.2012;11.;11.01.;11.01.07.;11.01.07.2012;Aceh;Kabupaten Aceh Selatan;Sawang;Blang Geulinggang;Desa
125;11.01.07.2013;11.;11.01.;11.01.07.;11.01.07.2013;Aceh;Kabupaten Aceh Selatan;Sawang;Mutiara;Desa
126;11.01.07.2014;11.;11.01.;11.01.07.;11.01.07.2014;Aceh;Kabupaten Aceh Selatan;Sawang;Ujung Padang;Desa
127;11.01.07.2015;11.;11.01.;11.01.07.;11.01.07.2015;Aceh;Kabupaten Aceh Selatan;Sawang;Sawang Ba'u;Desa
128;11.01.08.2001;11.;11.01.;11.01.08.;11.01.08.2001;Aceh;Kabupaten Aceh Selatan;Tapaktuan;Lhok Keutapang;Desa
129;11.01.08.2002;11.;11.01.;11.01.08.;11.01.08.2002;Aceh;Kabupaten Aceh Selatan;Tapaktuan;Hilir;Desa
130;11.01.08.2003;11.;11.01.;11.01.08.;11.01.08.2003;Aceh;Kabupaten Aceh Selatan;Tapaktuan;Padang;Desa
131;11.01.08.2004;11.;11.01.;11.01.08.;11.01.08.2004;Aceh;Kabupaten Aceh Selatan;Tapaktuan;Hulu;Desa
132;11.01.08.2005;11.;11.01.;11.01.08.;11.01.08.2005;Aceh;Kabupaten Aceh Selatan;Tapaktuan;Jambo Apha;Desa
133;11.01.08.2006;11.;11.01.;11.01.08.;11.01.08.2006;Aceh;Kabupaten Aceh Selatan;Tapaktuan;Tepi Air;Desa
134;11.01.08.2007;11.;11.01.;11.01.08.;11.01.08.2007;Aceh;Kabupaten Aceh Selatan;Tapaktuan;Pasar;Desa
135;11.01.08.2008;11.;11.01.;11.01.08.;11.01.08.2008;Aceh;Kabupaten Aceh Selatan;Tapaktuan;Lhok Bengkuang;Desa
136;11.01.08.2009;11.;11.01.;11.01.08.;11.01.08.2009;Aceh;Kabupaten Aceh Selatan;Tapaktuan;Panton Luas;Desa
137;11.01.08.2010;11.;11.01.;11.01.08.;11.01.08.2010;Aceh;Kabupaten Aceh Selatan;Tapaktuan;Gunung Kerambil;Desa
138;11.01.08.2011;11.;11.01.;11.01.08.;11.01.08.2011;Aceh;Kabupaten Aceh Selatan;Tapaktuan;Air Berudang;Desa
139;11.01.08.2012;11.;11.01.;11.01.08.;11.01.08.2012;Aceh;Kabupaten Aceh Selatan;Tapaktuan;Batu Itam;Desa
140;11.01.08.2013;11.;11.01.;11.01.08.;11.01.08.2013;Aceh;Kabupaten Aceh Selatan;Tapaktuan;Panjupian;Desa
141;11.01.08.2014;11.;11.01.;11.01.08.;11.01.08.2014;Aceh;Kabupaten Aceh Selatan;Tapaktuan;Lhok Rukam;Desa
142;11.01.08.2015;11.;11.01.;11.01.08.;11.01.08.2015;Aceh;Kabupaten Aceh Selatan;Tapaktuan;Air Pinang;Desa
143;11.01.08.2016;11.;11.01.;11.01.08.;11.01.08.2016;Aceh;Kabupaten Aceh Selatan;Tapaktuan;Lhok Bengkuang Timur;Desa
144;11.01.09.2001;11.;11.01.;11.01.09.;11.01.09.2001;Aceh;Kabupaten Aceh Selatan;Trumon;Keude Trumon;Desa
145;11.01.09.2002;11.;11.01.;11.01.09.;11.01.09.2002;Aceh;Kabupaten Aceh Selatan;Trumon;Ujong Tanoh;Desa
146;11.01.09.2003;11.;11.01.;11.01.09.;11.01.09.2003;Aceh;Kabupaten Aceh Selatan;Trumon;Sigleng;Desa
147;11.01.09.2004;11.;11.01.;11.01.09.;11.01.09.2004;Aceh;Kabupaten Aceh Selatan;Trumon;Ie Meudama;Desa
148;11.01.09.2005;11.;11.01.;11.01.09.;11.01.09.2005;Aceh;Kabupaten Aceh Selatan;Trumon;Teupin Tinggi;Desa
149;11.01.09.2006;11.;11.01.;11.01.09.;11.01.09.2006;Aceh;Kabupaten Aceh Selatan;Trumon;Kuta Baro;Desa
150;11.01.09.2007;11.;11.01.;11.01.09.;11.01.09.2007;Aceh;Kabupaten Aceh Selatan;Trumon;Panton Bilie;Desa
151;11.01.09.2012;11.;11.01.;11.01.09.;11.01.09.2012;Aceh;Kabupaten Aceh Selatan;Trumon;Kuta Padang;Desa
152;11.01.09.2013;11.;11.01.;11.01.09.;11.01.09.2013;Aceh;Kabupaten Aceh Selatan;Trumon;Raket;Desa
153;11.01.09.2014;11.;11.01.;11.01.09.;11.01.09.2014;Aceh;Kabupaten Aceh Selatan;Trumon;Gampong Teungoh;Desa
154;11.01.09.2015;11.;11.01.;11.01.09.;11.01.09.2015;Aceh;Kabupaten Aceh Selatan;Trumon;Seuneubok Jaya;Desa
155;11.01.09.2016;11.;11.01.;11.01.09.;11.01.09.2016;Aceh;Kabupaten Aceh Selatan;Trumon;Padang Harapan;Desa
156;11.01.10.2001;11.;11.01.;11.01.10.;11.01.10.2001;Aceh;Kabupaten Aceh Selatan;Pasie Raja;Ladang Teungoh;Desa
157;11.01.10.2002;11.;11.01.;11.01.10.;11.01.10.2002;Aceh;Kabupaten Aceh Selatan;Pasie Raja;Pucok Krueng;Desa
158;11.01.10.2003;11.;11.01.;11.01.10.;11.01.10.2003;Aceh;Kabupaten Aceh Selatan;Pasie Raja;Silolo;Desa
159;11.01.10.2004;11.;11.01.;11.01.10.;11.01.10.2004;Aceh;Kabupaten Aceh Selatan;Pasie Raja;Kampung Baru;Desa
160;11.01.10.2005;11.;11.01.;11.01.10.;11.01.10.2005;Aceh;Kabupaten Aceh Selatan;Pasie Raja;Panton Bili;Desa
161;11.01.10.2006;11.;11.01.;11.01.10.;11.01.10.2006;Aceh;Kabupaten Aceh Selatan;Pasie Raja;Paya Ateuk;Desa
162;11.01.10.2007;11.;11.01.;11.01.10.;11.01.10.2007;Aceh;Kabupaten Aceh Selatan;Pasie Raja;Ladang Tuha;Desa
163;11.01.10.2008;11.;11.01.;11.01.10.;11.01.10.2008;Aceh;Kabupaten Aceh Selatan;Pasie Raja;Mata Ie;Desa
164;11.01.10.2009;11.;11.01.;11.01.10.;11.01.10.2009;Aceh;Kabupaten Aceh Selatan;Pasie Raja;Ujong Batee;Desa
165;11.01.10.2010;11.;11.01.;11.01.10.;11.01.10.2010;Aceh;Kabupaten Aceh Selatan;Pasie Raja;Lhok Sialang Cut;Desa
166;11.01.10.2011;11.;11.01.;11.01.10.;11.01.10.2011;Aceh;Kabupaten Aceh Selatan;Pasie Raja;Seuneubok;Desa
167;11.01.10.2012;11.;11.01.;11.01.10.;11.01.10.2012;Aceh;Kabupaten Aceh Selatan;Pasie Raja;Ie Mirah;Desa
168;11.01.10.2013;11.;11.01.;11.01.10.;11.01.10.2013;Aceh;Kabupaten Aceh Selatan;Pasie Raja;Pasie Rasian;Desa
169;11.01.10.2014;11.;11.01.;11.01.10.;11.01.10.2014;Aceh;Kabupaten Aceh Selatan;Pasie Raja;Ujung Padang Rasian;Desa
170;11.01.10.2015;11.;11.01.;11.01.10.;11.01.10.2015;Aceh;Kabupaten Aceh Selatan;Pasie Raja;Krueng Kalee;Desa
171;11.01.10.2016;11.;11.01.;11.01.10.;11.01.10.2016;Aceh;Kabupaten Aceh Selatan;Pasie Raja;Lhok Sialang Rayeuk;Desa
172;11.01.10.2017;11.;11.01.;11.01.10.;11.01.10.2017;Aceh;Kabupaten Aceh Selatan;Pasie Raja;Gampong Baro;Desa
173;11.01.10.2018;11.;11.01.;11.01.10.;11.01.10.2018;Aceh;Kabupaten Aceh Selatan;Pasie Raja;Teupin Gajah;Desa
174;11.01.10.2019;11.;11.01.;11.01.10.;11.01.10.2019;Aceh;Kabupaten Aceh Selatan;Pasie Raja;Ujung Padang Asahan;Desa
175;11.01.10.2020;11.;11.01.;11.01.10.;11.01.10.2020;Aceh;Kabupaten Aceh Selatan;Pasie Raja;Pulo Ie II;Desa
176;11.01.10.2021;11.;11.01.;11.01.10.;11.01.10.2021;Aceh;Kabupaten Aceh Selatan;Pasie Raja;Pante Raja;Desa
177;11.01.11.2001;11.;11.01.;11.01.11.;11.01.11.2001;Aceh;Kabupaten Aceh Selatan;Labuhanhaji Timur;Tengah Peulumat;Desa
